topic,question,optionA,optionB,optionC,optionD,correctIndex,explanation,difficulty
Algebra - Binomische Formeln,Berechnen Sie (3a-6)^2.,9a^2 - 36,9a^2 - 18a + 36,9a^2 - 36a + 36,3a^2 - 36a + 36,2,(3a)^2 - 2(3a)6 + 6^2 = 9a^2 - 36a + 36.,medium
Algebra - Binomische Formeln,Faktorisieren Sie 8a^2 - 50.,2(4a^2-25),2(2a-5)^2,8(a^2-6.25),2(2a-5)(2a+5),3,Zuerst 2 ausklammern: 2(4a^2 - 25). Dann die dritte binomische Formel anwenden: 2((2a)^2 - 5^2) = 2(2a-5)(2a+5).,medium
Algebra - Binomische Formeln,Berechnen Sie (2a+5b)^2.,4a^2+25b^2,4a^2+10ab+25b^2,4a^2+20ab+25b^2,2a^2+20ab+5b^2,2,(2a)^2 + 2(2a)(5b) + (5b)^2 = 4a^2 + 20ab + 25b^2.,medium
Algebra - Binomische Formeln,Wie lautet die Formel für (a+b)^4?,a^4+4a^3b+6a^2b^2+4ab^3+b^4,a^4+b^4,a^4+2a^2b^2+b^4,(a^2+b^2)^2,0,"Die Koeffizienten entsprechen der vierten Zeile des Pascalschen Dreiecks (1, 4, 6, 4, 1).",medium
Algebra - Binomische Formeln,Vereinfachen Sie (a+3)^2 - (a+2)^2.,2a+5,1,2a-5,5,0,Mit der 3. binomischen Formel: ((a+3)-(a+2))((a+3)+(a+2)) = (1)(2a+5) = 2a+5.,medium
Algebra - Binomische Formeln,Faktorisieren Sie a^4 - b^4.,(a^2-b^2)^2,(a-b)^4,(a^2+b^2)(a-b)(a+b),(a^2+b^2)(a^2-b^2),2,Zuerst als (a^2)^2 - (b^2)^2 = (a^2-b^2)(a^2+b^2). Dann (a^2-b^2) weiter faktorisieren zu (a-b)(a+b).,medium
Algebra - Binomische Formeln,Berechnen Sie (a^2+b)(a^2-b).,a^4 - b^2,a^4 + b^2,a^2 - b^2,(a^2-b)^2,0,Anwendung der dritten binomischen Formel mit a_neu = a^2 und b_neu = b ergibt (a^2)^2 - b^2 = a^4 - b^2.,medium
Algebra - Binomische Formeln,Faktorisieren Sie 256a^8 - b^8 vollständig in reellen Zahlen.,(16a^4-b^4)(16a^4+b^4),(4a^2-b^2)(4a^2+b^2)(16a^4+b^4),(2a-b)(2a+b)(4a^2+b^2)(16a^4+b^4),(16a⁴+b⁴)(4a²+b²)(2a+b)(2a-b),2,256a^8-b^8 = (16a^4-b^4)(16a^4+b^4) = (4a^2-b^2)(4a^2+b^2)(16a^4+b^4) = (2a-b)(2a+b)(4a^2+b^2)(16a^4+b^4).,hard
Algebra - Binomische Formeln,Faktorisieren Sie a^5 - a.,a(a^2+1)(a-1)(a+1),a(a^4-1),a(a^2-1)^2,a(a-1)^2(a+1)^2,0,a ausklammern: a(a^4-1). Dann a^4-1 als (a^2-1)(a^2+1) faktorisieren. Schließlich a^2-1 zu (a-1)(a+1) faktorisieren.,hard
Algebra - Bruchrechnung,Vereinfachen Sie (a^2-b^2)/(a+b).,a-b,a+b,a^2-b,a+b^2,0,Der Zähler kann mit der dritten binomischen Formel zu (a+b)(a-b) faktorisiert werden. Der Faktor (a+b) kürzt sich heraus.,easy
Algebra - Bruchrechnung,Addieren Sie a/b + c/b.,(a+c)/b,(a+c)/(2b),ac/b^2,ac/b,0,Bei gleichem Nenner werden die Zähler einfach addiert.,easy
Algebra - Bruchrechnung,Multiplizieren Sie (a/b) * (c/d).,ac/bd,ad/bc,(a+c)/(b+d),ac/(b+d),0,Zähler wird mit Zähler und Nenner mit Nenner multipliziert.,easy
Algebra - Bruchrechnung,Was ist der gemeinsame Nenner für 1/(a-1) und 1/(a+1)?,a^2-1,a^2+1,2,2a,0,"Der gemeinsame Nenner ist das Produkt der einzelnen Nenner, hier (a-1)(a+1), was nach der 3. binomischen Formel a^2-1 ist.",easy
Algebra - Bruchrechnung,Führen Sie die Subtraktion durch: a/b - b/a.,(a-b)/(ab),(a^2-b^2)/(ab),(a-b)/1,1,1,Der gemeinsame Nenner ist ab. Die Rechnung ist (a^2)/(ab) - (b^2)/(ab) = (a^2-b^2)/(ab).,easy
Algebra - Bruchrechnung,Vereinfachen Sie (4a+8b)/(a+2b).,4,4a+4b,4(a+2b),12,0,Im Zähler kann 4 ausgeklammert werden: 4(a+2b). Der Term (a+2b) kürzt sich dann heraus.,medium
Algebra - Bruchrechnung,Dividieren Sie (a/b) durch (a/c).,b/c,c/b,1,ac/b,1,"Man dividiert durch einen Bruch, indem man mit dem Kehrwert multipliziert: (a/b) * (c/a) = ac/ab = c/b.",medium
Algebra - Bruchrechnung,Addieren Sie 1/(a-1) - 1/(a+1).,0,2/(a^2-1),-2/(a^2-1),2a/(a^2-1),1,Gemeinsamer Nenner ist a^2-1. Die Rechnung ist ((a+1)-(a-1))/(a^2-1) = (a+1-a+1)/(a^2-1) = 2/(a^2-1).,medium
Algebra - Bruchrechnung,Vereinfachen Sie (x^2+2x+1)/(x+1).,x+1,x+2,x,1,0,"Der Zähler ist (x+1)^2. Ein Faktor (x+1) kürzt sich weg, es bleibt x+1.",medium
Algebra - Bruchrechnung,Führen Sie die Addition durch: x/(x-y) + y/(y-x).,1,(x+y)/(x-y),0,(x-y)/(x+y),0,"Der zweite Bruch ist äquivalent zu -y/(x-y). Die Addition ergibt (x-y)/(x-y), was zu 1 vereinfacht wird.",medium
Algebra - Bruchrechnung,Vereinfachen Sie (a^2-ab)/(b^2-ab).,-1,a/b,-a/b,(a-b)/(b-a),2,Zähler: a(a-b). Nenner: b(b-a) = -b(a-b). Nach Kürzen von (a-b) bleibt a/(-b) = -a/b.,medium
Algebra - Bruchrechnung,Vereinfachen Sie (a^3 - a) / (a^2 - 1).,a,a-1,1/a,a+1,0,Zähler: a(a^2-1) = a(a-1)(a+1). Nenner: (a-1)(a+1). Nach Kürzen der gemeinsamen Faktoren bleibt a übrig.,medium
Algebra - Bruchrechnung,Was ist der Definitionsbereich des Ausdrucks 1/(a^2-1)?,Alle reellen Zahlen,Alle reellen Zahlen außer 1,Alle reellen Zahlen außer -1,Alle reellen Zahlen außer 1 und -1,3,Der Nenner darf nicht Null werden. a^2-1 = 0 für a=1 und a=-1. Diese Werte müssen ausgeschlossen werden.,medium
Algebra - Bruchrechnung,Vereinfachen Sie ((a^2-b^2)/(ab)) / ((a-b)/b).,(a+b)/a,a+b,a/b,a-b,0,"Man teilt, indem man mit dem Kehrwert multipliziert: (a+b)(a-b)/(ab) * b/(a-b). Die Terme (a-b) und b kürzen sich. Es bleibt (a+b)/a.",hard
Algebra - Bruchrechnung,Vereinfachen Sie (a^2-b^2)/(c^2-d^2) * (c-d)/(a+b).,(a-b)/(c-d),(a-b)(c+d),(a-b)/(c+d),(a+b)/(c+d),2,Faktorisieren: ((a-b)(a+b))/((c-d)(c+d)) * (c-d)/(a+b). Kürzen von (a+b) und (c-d) ergibt (a-b)/(c+d).,hard
Gleichungen - Lineare Gleichungen,Lösen Sie die Gleichung 3x - 7 = 5.,x=4,x=-4/3,x=12,x=2/3,0,7 addieren: 3x = 12. Durch 3 teilen: x = 4.,easy
Gleichungen - Lineare Gleichungen,Was ist die Lösung von 2(x+1) = 8?,x=3,x=4,x=7,x=3.5,0,Ausmultiplizieren: 2x+2=8. 2 subtrahieren: 2x=6. Durch 2 teilen: x=3.,easy
Gleichungen - Lineare Gleichungen,Lösen Sie die Ungleichung 2x + 1 > 5.,x > 2,x < 2,x > 3,x > 4/2,0,1 subtrahieren: 2x > 4. Durch 2 teilen: x > 2.,easy
Gleichungen - Lineare Gleichungen,Lösen Sie die Ungleichung -3x + 7 > -2.,x > 3,x < -3,x < 3,x > -3,2,7 subtrahieren: -3x > -9. Durch -3 teilen und das Ungleichheitszeichen umdrehen: x < 3.,easy
Gleichungen - Lineare Gleichungen,Finden Sie x für 5x - 8 = 3x + 2.,x=5,x=3,x=-3,x=-5,0,3x subtrahieren: 2x - 8 = 2. 8 addieren: 2x = 10. Durch 2 teilen: x = 5.,easy
Gleichungen - Lineare Gleichungen,Eine lineare Gleichung hat die Form ax + b = 0. Was ist die Lösung für x?,x = b/a,x = -b/a,x = a/b,x = -a/b,1,b subtrahieren: ax = -b. Durch a teilen: x = -b/a.,easy
Gleichungen - Lineare Gleichungen,Lösen Sie 3 - 2x <= 7.,x >= -2,x <= -2,x >= 2,x <= 2,0,3 subtrahieren: -2x <= 4. Durch -2 teilen und Zeichen umdrehen: x >= -2.,easy
Gleichungen - Lineare Gleichungen,Lösen Sie die Gleichung (3x+2)/(4x-5) = 2.,x=12/5,x=-12/5,x=8/5,x=-8/5,0,"Mit (4x-5) multiplizieren: 3x+2 = 2(4x-5) = 8x-10. Umformen: 12 = 5x, also x = 12/5.",medium
Gleichungen - Lineare Gleichungen,Für welchen Wert von x ist der Ausdruck (4x-5) gleich Null?,x=5/4,x=4/5,x=-5/4,x=-4/5,0,"4x-5=0 -> 4x=5 -> x=5/4. Dies ist wichtig, um Division durch Null zu vermeiden.",medium
Gleichungen - Lineare Gleichungen,Lösen Sie die Ungleichung 5(x-2) < 2(x+1).,x < 4,x > 4,x < 3,x < 12,0,5x-10 < 2x+2. 2x subtrahieren: 3x-10 < 2. 10 addieren: 3x < 12. Durch 3 teilen: x < 4.,medium
Gleichungen - Lineare Gleichungen,Lösen Sie die Gleichung (3x-1)^2 = 4.,x = 1 oder x = -1/3,x = 1,x = -1/3,x = ±1,0,Die Wurzel ziehen: 3x-1 = 2 oder 3x-1 = -2. Fall 1: 3x=3 -> x=1. Fall 2: 3x=-1 -> x=-1/3.,medium
Gleichungen - Lineare Gleichungen,Lösen Sie die Gleichung (x+1)^2 = (2x-1)^2.,x=2,x=0,x=0 oder x=2,x=2/3,2,"Diese Gleichung ist erfüllt, wenn entweder (x+1) = (2x-1), was x=2 ergibt, oder (x+1) = -(2x-1), was 3x=0 und somit x=0 ergibt.",medium
Gleichungen - Lineare Gleichungen,Welche x erfüllen die Ungleichung -2 <= 3x+1 <= 7?,-1 <= x <= 2,-2/3 <= x <= 8/3,1 <= x <= 2,-1 <= x <= 8/3,0,1 subtrahieren: -3 <= 3x <= 6. Durch 3 teilen: -1 <= x <= 2.,medium
Gleichungen - Lineare Gleichungen,Lösen Sie die Gleichung x/2 + x/3 = 5.,x=6,x=30,x=5,x=1,0,Mit dem Hauptnenner 6 multiplizieren: 3x + 2x = 30. 5x = 30. x = 6.,medium
Gleichungen - Quadratische Gleichungen,Was ist eine quadratische Gleichung?,Eine Gleichung mit einer Unbekannten,Eine Gleichung der Form ax+b=0,Eine Gleichung der Form ax^2+bx+c=0,Eine Gleichung mit zwei Unbekannten,2,Eine quadratische Gleichung (oder Gleichung zweiten Grades) hat die allgemeine Form ax^2 + bx + c = 0 mit a ≠ 0.,easy
Gleichungen - Quadratische Gleichungen,Was sind die Lösungen von x^2 = 9?,x=3,x=-3,x=±3,x=81,2,"Die Gleichung hat zwei Lösungen, da sowohl 3^2=9 als auch (-3)^2=9 gilt.",easy
Gleichungen - Quadratische Gleichungen,Lösen Sie die Gleichung x^2 - 3x = 0.,x=3,x=0,x=0 oder x=3,x=±√3,2,"Durch Ausklammern von x erhält man x(x-3) = 0. Ein Produkt ist null, wenn einer der Faktoren null ist, also x=0 oder x-3=0.",easy
Gleichungen - Quadratische Gleichungen,Wie viele reelle Lösungen hat die Gleichung x^2 + 1 = 0?,Keine,Eine,Zwei,Unendlich viele,0,"x^2 = -1 hat keine reelle Lösung, da das Quadrat einer reellen Zahl niemals negativ sein kann.",easy
Gleichungen - Quadratische Gleichungen,Wofür steht die Diskriminante D in der abc-Formel?,b^2 - 4ac,√b^2 - 4ac,-b ± √D,2a,0,"Die Diskriminante D ist der Ausdruck unter der Wurzel in der abc-Formel, also D = b^2 - 4ac.",easy
Gleichungen - Quadratische Gleichungen,Lösen Sie x^2 + 6x + 9 = 0.,x=3,x=-3,x=±3,x=9,1,Die linke Seite ist (x+3)^2. Die Gleichung (x+3)^2 = 0 hat die einzige (doppelte) Lösung x=-3.,medium
Gleichungen - Quadratische Gleichungen,Was sind die Lösungen von x^2 - x - 2 = 0?,x=2 und x=-1,x=-2 und x=1,x=2 und x=1,x=-2 und x=-1,0,"Mit der pq-Formel (p=-1, q=-2): x = 0.5 ± √(0.25 - (-2)) = 0.5 ± √2.25 = 0.5 ± 1.5. Lösungen sind 2 und -1.",medium
Gleichungen - Quadratische Gleichungen,Wenden Sie die quadratische Ergänzung auf x^2 - 6x + 3 = 0 an. Was ist der erste Schritt?,(x-3)^2 = -3,(x-3)^2 = 6,x^2-6x = 3,x^2-6x = -3,3,"Um die linke Seite zu einem Quadrat (x-3)^2=x^2-6x+9 zu machen, bringen wir zuerst die 3 auf die andere Seite: x^2-6x = -3.",medium
Gleichungen - Quadratische Gleichungen,Lösen Sie 2x^2 + 5x - 3 = 0 mit der abc-Formel.,x=1/2 und x=-3,x=-1/2 und x=3,x=1 und x=-3/2,x=-1 und x=3/2,0,"a=2, b=5, c=-3. x = (-5 ± √(25 - 42*(-3))) / 4 = (-5 ± √49) / 4 = (-5 ± 7) / 4. Lösungen sind 2/4=1/2 und -12/4=-3.",medium
Gleichungen - Quadratische Gleichungen,Lösen Sie die Gleichung x^2 + 4x + 1 = 0 mittels quadratischer Ergänzung.,x = -2 ± √3,x = 2 ± √3,x = -2 ± √5,x = -4 ± √15,0,"x^2+4x = -1. Ergänze 4: x^2+4x+4 = 3 -> (x+2)^2 = 3. Also x+2 = ±√3, was zu x = -2 ± √3 führt.",medium
Gleichungen - Quadratische Gleichungen,Was ist die pq-Formel für eine Gleichung der Form x^2+px+q=0?,x = -p/2 ± √(p^2/4 - q),x = -p ± √(p^2 - 4q),x = (-p ± √(p^2 - 4q))/2,x = -q/2 ± √(q^2/4 - p),0,Die pq-Formel lautet x = -p/2 ± √( (p/2)^2 - q ).,medium
Gleichungen - Quadratische Gleichungen,Lösen Sie die Gleichung x - 2√x = 3.,x=9,x=1,x=9 oder x=1,Keine Lösung,0,"Setze y=√x: y^2 - 2y - 3 = 0. Lösungen für y sind 3 und -1. Da y=√x nicht negativ sein kann, ist nur y=3 gültig. Daraus folgt x = y^2 = 9.",hard
Gleichungen - Quadratische Gleichungen,Lösen Sie die biquadratische Gleichung x^4 - 6x^2 - 16 = 0.,x=±√8,x=±2√2,x=±√8 und x=±√-2,x=±2√2 und keine weitere reelle Lösung,1,"Setze y=x^2: y^2-6y-16=0. Lösungen für y sind 8 und -2. Da x^2=y, ergibt x^2=8 die Lösungen x=±√8 = ±2√2. x^2=-2 hat keine reellen Lösungen.",hard
Gleichungen - Lineare Gleichungssysteme,Wie viele Lösungen hat das System y=2x+1 und y=2x+3?,Keine,Eine,Zwei,Unendlich viele,0,"Die Geraden haben die gleiche Steigung (2), aber unterschiedliche y-Achsenabschnitte. Sie sind parallel und schneiden sich nie.",easy
Gleichungen - Lineare Gleichungssysteme,Wie nennt man ein Gleichungssystem mit mindestens einer Lösung?,Lösbar,Unlösbar,Linear,Quadratisch,0,Ein System mit einer oder unendlich vielen Lösungen wird als lösbar bezeichnet.,easy
Gleichungen - Lineare Gleichungssysteme,Ein System hat die Form: y-4z=4 und -3y+12z=-12. Was lässt sich über die Lösungen sagen?,Es gibt eine eindeutige Lösung,Es gibt keine Lösung,Es gibt unendlich viele Lösungen,Die Aussage ist nicht möglich,2,"Die zweite Gleichung ist das -3-fache der ersten. Die Gleichungen sind abhängig. Es gibt unendlich viele Lösungen, die auf einer Geraden liegen.",medium
Folgen und Reihen - Grundlagen,Wann konvergiert eine unendliche geometrische Reihe mit dem Startglied a und dem Verhältnis r?,|r| > 1,r = 1,|r| = 1,|r| < 1,3,"Eine unendliche geometrische Reihe konvergiert genau dann, wenn der Betrag des Verhältnisses r kleiner als 1 ist (-1 < r < 1).",easy
Folgen und Reihen - Grundlagen,Berechnen Sie die Summe der ersten 10 positiven ganzen Zahlen.,55,50,100,45,0,"Dies ist eine arithmetische Folge mit n=10, a1=1, an=10. Die Summenformel ist S=n/2 * (a1+an) = 10/2 * (1+10) = 5 * 11 = 55.",medium
Folgen und Reihen - Grundlagen,Berechnen Sie die Summe der Reihe 4 + 2 + 1 + 1/2 + ...,8,16,4,Die Reihe divergiert,0,Dies ist eine geometrische Reihe mit a=4 und r=1/2. Die Summe ist S = a / (1-r) = 4 / (1 - 1/2) = 4 / (1/2) = 8.,medium
Folgen und Reihen - Grundlagen,Was ist der Grenzwert der Folge an = 1/n^2 für n -> unendlich?,0,1,Unendlich,Nicht definiert,0,"Für jede Zahl p > 0 gilt, dass der Grenzwert von 1/n^p für n gegen unendlich gleich 0 ist.",medium
Folgen und Reihen - Grundlagen,Die periodische Dezimalzahl 0.333... kann als geometrische Reihe geschrieben werden. Was ist der Wert als Bruch?,1/3,3/10,33/100,1/9,0,Die Reihe ist 0.3 + 0.03 + 0.003 + ... mit a=0.3 und r=0.1. Die Summe ist a/(1-r) = 0.3/(1-0.1) = 0.3/0.9 = 3/9 = 1/3.,medium
Folgen und Reihen - Grundlagen,Was ist die Summenformel für die Summe der ersten n Glieder einer geometrischen Folge ∑(k=0 bis n-1) ar^k?,a(1-r^n)/(1-r),a/(1-r),a(1-r)/(1-r^n),a(1+r^n)/(1+r),0,Die Summenformel für eine endliche geometrische Folge mit n Gliedern lautet S_n = a * (1-r^n)/(1-r) für r ≠ 1.,medium
Folgen und Reihen - Grundlagen,Berechnen Sie die Summe der arithmetischen Folge 2 + 5 + 8 + ... + 32.,171,187,170,165,1,Es ist eine arithmetische Folge mit d=3. an=a1+(n-1)d -> 32=2+(n-1)3 -> 30=(n-1)3 -> n-1=10 -> n=11. Summe S=11/2*(2+32)=5.534=187.,hard
Folgen und Reihen - Grundlagen,Was ist der Grenzwert von lim (n->inf) (n^2+2n)/(n^2-2^n)?,-1,0,1,Unendlich,1,Der Term 2^n im Nenner wächst exponentiell und damit schneller als jede Potenz von n. Der Grenzwert ist daher 0.,hard
Folgen und Reihen - Grundlagen,Berechnen Sie die Summe 1 - 7/8 + 49/64 - ....,15/8,8/15,1/15,8/1,1,"Dies ist eine geometrische Reihe mit a=1 und r=-7/8. Da |r|<1, konvergiert sie. Summe S = a/(1-r) = 1/(1 - (-7/8)) = 1/(15/8) = 8/15.",medium
Folgen und Reihen - Grundlagen,Was ist der Grenzwert von lim (n->inf) (2n^4 - 6n^2)/(5n^4 + 4)?,0,2/5,Unendlich,-3/2,1,Man teilt Zähler und Nenner durch die höchste Potenz des Nenners (n^4). Der Grenzwert ist das Verhältnis der Leitkoeffizienten: 2/5.,medium
Folgen und Reihen - Grundlagen,Was ist der Grenzwert der Folge ⁿ√n?,0,1,e,Unendlich,1,Dies ist ein Standardgrenzwert. Eine Verallgemeinerung von lim (n->inf) ⁿ√p = 1 ist lim (n->inf) ⁿ√n = 1.,medium
Folgen und Reihen - Binomialkoeffizienten,Was ist 5! (5 Fakultät)?,15,20,120,25,2,5! = 5 * 4 * 3 * 2 * 1 = 120.,easy
Folgen und Reihen - Binomialkoeffizienten,Wofür steht der Binomialkoeffizient (n über k)?,n! / k!,n! / (n-k)!,n! / (k! * (n-k)!),nk,2,Die Formel für den Binomialkoeffizienten (n k) ist n! / (k!(n-k)!).,easy
Folgen und Reihen - Binomialkoeffizienten,Berechnen Sie den Binomialkoeffizienten (5 über 2).,10,20,15,2.5,0,(5 über 2) = 5! / (2! * 3!) = 120 / (2 * 6) = 120 / 12 = 10.,easy
Folgen und Reihen - Binomialkoeffizienten,Welche Zahlenreihe bildet die dritte Zeile (n=2) des Pascalschen Dreiecks?,1,1,1,2,1,1,3
Folgen und Reihen - Binomialkoeffizienten,Was ist der Wert von (n über 0) für n>=0?,0,1,n,Nicht definiert,1,"(n über 0) = n! / (0! * n!) = 1, da 0! = 1 ist. Es gibt eine Möglichkeit, null Elemente auszuwählen.",easy
Folgen und Reihen - Binomialkoeffizienten,Was ist der Wert von (n über 1) für n>=1?,1,n,n-1,n!,1,(n über 1) = n! / (1! * (n-1)!) = n.,easy
Folgen und Reihen - Binomialkoeffizienten,Was ist der Wert von 0!?,0,1,Nicht definiert,Unendlich,1,Per Definition ist 0! = 1.,easy
Folgen und Reihen - Binomialkoeffizienten,Wie berechnet man eine Zahl im Pascalschen Dreieck?,Sie ist das Produkt der zwei Zahlen direkt darüber,Sie ist die Summe der zwei Zahlen direkt darüber,Sie ist die Differenz der zwei Zahlen direkt darüber,Sie ist der Quotient der zwei Zahlen direkt darüber,1,Jede Zahl im Pascalschen Dreieck ist die Summe der beiden direkt über ihr stehenden Zahlen.,medium
Folgen und Reihen - Binomialkoeffizienten,Wie lautet der Binomische Lehrsatz für (a+b)^n in Sigma-Notation?,∑(k=0 bis n) (n über k) a^k b^(n-k),∑(k=0 bis n) (n über k) a^(n-k) b^k,∑(k=1 bis n) (n über k) a^n b^k,∑(k=0 bis n) a^(n-k) b^k,1,Der binomische Lehrsatz lautet (a+b)^n = ∑(k=0 bis n) (n über k) a^(n-k)b^k.,medium
Folgen und Reihen - Binomialkoeffizienten,Berechnen Sie (7 über 3).,21,35,42,210,1,(7 über 3) = (765)/(321) = 35.,medium
Folgen und Reihen - Binomialkoeffizienten,Welche Symmetrieeigenschaft gilt für Binomialkoeffizienten?,(n über k) = (n über n-k),(n über k) = (n-k über k),(n über k) = (n über k-1),(n über k) = (k über n),0,Es gilt die Symmetrie (n über k) = n! / (k!(n-k)!) = n! / ((n-k)!k!) = (n über n-k).,medium
Folgen und Reihen - Binomialkoeffizienten,Was ist der Koeffizient des Terms a³b² in der Entwicklung von (a+b)⁵?,5,10,20,1,1,"Nach dem Binomischen Lehrsatz ist der Koeffizient von a^(n-k)b^k gleich (n über k). Hier ist n=5 und k=2, also (5 über 2) = 5!/(2!3!) = 10.",medium
Folgen und Reihen - Binomialkoeffizienten,Berechnen Sie die Summe ∑(k=0 bis 8) (8 über k).,256,8!,1,0,0,Nach dem Binomischen Lehrsatz ist dies gleich (1+1)^8 = 2^8 = 256.,hard
Folgen und Reihen - Binomialkoeffizienten,Berechnen Sie (10 über 8) mit der Vereinfachungsregel.,45,109/2,10!/8!,90,0,Wegen der Symmetrie ist (10 über 8) = (10 über 2). Das ist (109)/(21) = 45.,hard
Geometrie - Ebene,Was ist die allgemeine Gleichung einer Geraden in der Ebene?,y = mx + p,ax + by = c,x^2 + y^2 = r^2,(x-a)^2 + (y-b)^2 = r^2,1,"Die allgemeine lineare Gleichung in x und y ist ax + by = c, die eine Gerade beschreibt (solange a und b nicht beide Null sind).",easy
Geometrie - Ebene,Was ist die Steigung der Geraden y = -4/3 x + 4?,4,-4/3,3/4,y,1,In der Form y = mx + p ist m die Steigung. Hier ist m = -4/3.,easy
Geometrie - Ebene,Was ist der Abstand zwischen den Punkten A(4,9) und B(8,1)?,√80,10,8,√146,0
Geometrie - Ebene,Was ist der Radius des Kreises x^2 + y^2 - 4x - 6y + 4 = 0?,3,9,√13,4,0,"Durch quadratische Ergänzung erhält man (x-2)^2 + (y-3)^2 = 9. Da r^2=9 ist, ist der Radius r=3.",medium
Geometrie - Ebene,Was ist der Abstand des Punktes A(2,0) zur Geraden 2x-3y=4?,0,√13,2/√13,4,0,"Der Punkt A(2,0) erfüllt die Gleichung 2(2)-3(0)=4, also liegt der Punkt auf der Geraden. Der Abstand ist 0."
Geometrie - Vektoren,Berechnen Sie das Skalarprodukt von a=(1,1,1) und b=(1,-1,-1).,3,1,-1
Geometrie - Vektoren,Bestimmen Sie die Länge des Vektors a=(1,2,2).,3,5,9,√9,0
Geometrie - Vektoren,Bestimmen Sie den Abstand vom Ursprung zur Ebene 3x+4y=5.,1,5,5/√(3^2+4^2),√5,0,"Die Formel für den Abstand eines Punktes (x0,y0) zu ax+by-c=0 ist |ax0+by0-c|/√(a^2+b^2). Hier |30+40-5|/√(9+16) = |-5|/5 = 1.",medium
Geometrie - Vektoren,Wie ist die gegenseitige Lage der Ebenen x+y+z=1 und 2x+2y+2z=3?,Sie sind identisch,Sie schneiden sich in einer Geraden,Sie sind parallel und verschieden,Sie sind orthogonal,2,"Der Normalenvektor der zweiten Ebene (2,2,2) ist ein Vielfaches des ersten (1,1,1). Die Ebenen sind also parallel. Da die zweite Gleichung nicht das Doppelte der ersten ist (2!=3), sind sie verschieden.",medium
Geometrie - Vektoren,Bestimmen Sie den Winkel zwischen den Geraden x+y=-1 und x-2y=4 in Grad (auf ganze Zahl gerundet).,45°,90°,72°,108°,2,"Die Normalenvektoren sind n1=(1,1) und n2=(1,-2). cos(phi) = <n1,n2>/(|n1||n2|) = (1-2)/(√2 * √5) = -1/√10 ≈ -0.316. phi ≈ arccos(-0.316) ≈ 108°. Der Winkel zwischen Geraden ist der kleinere Winkel, also 180-108 = 72°.",hard
Geometrie - Vektoren,Welche Parameterdarstellung beschreibt die Schnittgerade der Ebenen E1: x+y+z=1 und E2: x-y=2?,"(2,0,-1) + t(1,1,-2)","(1,1,-1) + t(1,-1,0)","(2,-1,0) + t(1,1,1)","(0,0,1) + t(1,0,-1)",0,"Aus E2 folgt x=2+y. Einsetzen in E1 ergibt (2+y)+y+z=1, also 2y+z=-1. Wählt man y=t als Parameter, so folgt x=2+t und z=-1-2t. Dies entspricht dem Aufpunkt (2,0,-1) und dem Richtungsvektor (1,1,-2).",hard
Funktionen - Graphen und Eigenschaften,Welche Art von Funktion wird durch f(x) = mx + p beschrieben?,Quadratische Funktion,Lineare Funktion,Potenzfunktion,Exponentialfunktion,1,f(x) = mx+p ist die allgemeine Form einer linearen Funktion (oder Funktion ersten Grades).,easy
Funktionen - Graphen und Eigenschaften,Was ist der Graph einer quadratischen Funktion f(x) = ax^2 + bx + c?,Eine Gerade,Ein Kreis,Eine Parabel,Eine Hyperbel,2,Der Graph einer quadratischen Funktion ist immer eine Parabel.,easy
Funktionen - Graphen und Eigenschaften,Was ist der Definitionsbereich der Funktion f(x) = √x?,Alle reellen Zahlen,x > 0,x >= 0,x < 0,2,Die Quadratwurzel ist im Reellen nur für nicht-negative Zahlen definiert.,easy
Funktionen - Graphen und Eigenschaften,Welche Symmetrie hat der Graph der Funktion f(x) = x^3?,Achsensymmetrisch zur y-Achse,Punktsymmetrisch zum Ursprung,Keine Symmetrie,Achsensymmetrisch zur x-Achse,1,"Da x^3 eine ungerade Potenz ist, ist die Funktion ungerade und ihr Graph punktsymmetrisch zum Ursprung.",easy
Funktionen - Graphen und Eigenschaften,Was ist die waagerechte Asymptote der Funktion f(x) = (2x+4)/(x-3)?,y=2,y=3,x=2,x=3,0,"Für sehr große |x| nähert sich der Wert des Bruchs dem Verhältnis der Leitkoeffizienten an, also 2/1=2. Die Asymptote ist y=2.",easy
Funktionen - Graphen und Eigenschaften,Was ist die senkrechte Asymptote der Funktion f(x) = (2x+4)/(x-3)?,y=2,y=-4/2,x=3,x=-3,2,"Eine senkrechte Asymptote liegt vor, wo der Nenner Null wird, also bei x-3=0 -> x=3.",easy
Funktionen - Graphen und Eigenschaften,Welche Funktion ist weder gerade noch ungerade?,f(x) = x^2,f(x) = sin(x),f(x) = x+1,f(x) = |x|,2,f(-x) = -x+1. Dies ist weder f(x) noch -f(x).,easy
Funktionen - Graphen und Eigenschaften,Für welche x gilt |x^2-1| = 0?,x=0,x=1,x=-1,x=1 oder x=-1,3,"Der Betrag ist Null, wenn der Ausdruck innen Null ist. x^2-1=0 hat die Lösungen x=1 und x=-1.",medium
Funktionen - Graphen und Eigenschaften,Was ist der Grad des Polynoms f(x) = 3x^4 - 7x^3 + 2?,4,3,7,2,0,Der Grad eines Polynoms ist der höchste Exponent der Variable. Hier ist das 4.,medium
